제목,줄거리,장르,연령등급,제작연도,평점,포스터 이미지,OTT
아따맘마,이 시대의 평범한 핵가족인 4명의 가족 구성원을 중심으로 각각의 생동감 있고 공감가는 에피소드가 중심이 되는 본격 일상 애니메이션.,"코미디, 애니메이션",12세 이상 시청가,2002년,3.6,https://file.kinolights.com/m/content_poster/202307/12/11c89220-027c-40f3-94b1-2897b8081a5b.webp,"왓챠, 쿠팡플레이, 티빙"
아름다운 그대에게 미남파라다이스 시즌 2,만화를 각색한 작품으로 꽃미남으로 유명한 남고에 남장을 하고 편입한 여학생에게 벌어지는 해프닝을 그린 작품.,"드라마, 로맨스",15세 이상 시청가,2011년,2.7,https://file.kinolights.com/m/content_poster/202307/12/d6b99d70-f30f-481d-a437-6fa09dd2ef22.webp,"왓챠, 티빙"
아리스 인 보더랜드 시즌 1,"만화 ‘임종의 나라의 앨리스’를 원작으로 하는 넷플릭스 시리즈. 주인공 이름이 ‘아리스’인 것과 등장하는 게임들의 특징이 트럼프 카드 모양으로 표현되는 등, 이상한 나라의 앨리스를 모티브로 삼았다. 같은 데스 게임 장르인 ‘오징어 게임’이 엄청난 인기를 끌면서 함께 주....","드라마, 스릴러",19세 이상 시청가,2020년,3.4,https://file.kinolights.com/m/content_poster/202307/12/dac6880e-bf6b-4d47-a488-c5426864b7a9.webp,넷플릭스
아마존 활명수,"전 양궁 국가대표 메달리스트였지만 지금은 구조조정 1순위 진봉. 회사에서 준 마지막 기회를 잡기 위해 아마존으로 향한다. 죽을 고비를 넘기고 도착한 아마존. 그곳에서 만난 신이 내린 활 솜씨의 아마존 전사 3인방 시카, 이바, 왈부! 살 길을 찾았다고 생각한 진봉은 한국계 볼레도르인 통역사 빵식과 함께 활의 명수 3인방을 데리고 한국으로 향하는데...",코미디,12세 이상 관람가,2023년,2.2,https://file.kinolights.com/m/content_poster/202410/28/4eb12263-327b-43d5-9552-6350ca5097ca.webp,"넷플릭스, 왓챠, 쿠팡플레이"
아메리칸 뷰티,"미국의 중산층 가정. 남편(케빈 스페이시)은 딸(도라 버치)의 친구에게 성적 욕망을 느끼고, 아내(아네트 베닝)는 바람을 피우고, 딸은 옆집 소년에게 사랑을 느끼고, 옆집 소년은 딸의 일거수 일투족을 몰래 카메라로 찍어대는 마약 중독자이고, 그의 아버지는 동성연애자이다. 이렇듯 겉으로는 너무나 멀쩡한 가정의 구성원들이 제각각 꿈꾸는 욕망이라는 것은 지저분하기 이를 데 없는데...","드라마, 코미디",청소년 관람불가,1999년,3.9,https://file.kinolights.com/m/content_poster/202307/12/f992ada3-5f05-4170-bc5d-565e4348c9bd.webp,쿠팡플레이
아메리칸 셰프,"일류 레스토랑의 셰프 칼 캐스퍼는 레스토랑 오너에게 메뉴 결정권을 뺏긴 후 유명음식평론가의 혹평을 받자 홧김에 트위터로 욕설을 보낸다. 이들의 썰전은 온라인 핫이슈로 등극하고 칼은 레스토랑을 그만두기에 이른다. 아무것도 남지 않은 그는 쿠바 샌드위치 푸드트럭에 도전, 그 동안 소원했던 아들과 미국 전역을 일주하던 중 문제의 평론가가 푸드트럭에 다시 찾아오는데…","드라마, 코미디",15세 이상 관람가,2014년,3.7,https://file.kinolights.com/m/content_poster/202307/12/8e24baea-fbe3-4eac-84f8-c3ba7656241d.webp,"넷플릭스, 왓챠, 쿠팡플레이, 티빙"
아메리칸 스나이퍼,"녹색 얼굴의 악마들, 전쟁의 종결자 네이비 실 사이에서도 전설이라 불렸던 남자 크리스 카일. 총알이 난무하는 전쟁터에서도 군인들이 적을 소탕할 수 있었던 것은 최고의 스나이퍼가 자신들을 지켜줄 것이라는 믿음 때문이었다. 그러나 신은 그에게 관용을 허락하지 않았다. 단 4일간의 허니문, 첫 아이가 태어나는 순간에도 전쟁터를 떠나지 못한다. 더 이상 자신이 사랑했던 남자가 아닌 것 같다는 아내의 눈물에도 그는 조국을 지키기 위해, 한 명의 전우를 더 살리기 위해 적에게 총구를 겨누는데…","드라마, 액션",청소년 관람불가,2014년,3.7,https://file.kinolights.com/m/content_poster/202307/12/f66ca67b-ffac-4335-a375-f7891cf0efc5.webp,쿠팡플레이
아메리칸 히스토리 X,살인죄로 수감된 신나치주의 추종자가 완벽히 교화되어 출소한다. 하지만 과연 동생이 자신과 같은 실수를 하지 못하도록 막을 수 있을까?,드라마,청소년 관람불가,1998년,3.8,https://file.kinolights.com/m/content_poster/202307/12/982c09b9-2d43-4ef4-a5d4-6e6f697acf32.webp,쿠팡플레이
아메바 소녀들과 학교괴담: 개교기념일,"영화감독이 꿈인 지연과 친구들은 우연히 방송반 캐비닛에서 1998년에 촬영 된 비디오테이프를 보게 된다. 그 날 이후, 지연과 친구들은 동시에 기이한 현상을 겪고, 비디오테이프의 정체를 쫓다 학교괴담을 알게 되는데… 개교기념일, 저주의 종이 울리면 시작되는 숨바꼭질! 이제 학교괴담은 현실이 되어 이들을 덮친다!","코미디, 공포",15세 이상 관람가,2024년,3.2,https://file.kinolights.com/m/content_poster/202410/29/e613d3ee-1a87-4139-998b-7c8020f358dd.webp,"넷플릭스, 왓챠, 쿠팡플레이, 티빙"
아멜리에,노트르담 성당에서 뛰어내린 관광객에 깔려 엄마가 세상을 떠난 후 외톨이가 된 아멜리에가 빛바랜 사진과 구슬이 가득 담긴 낡은 상자를 발견하면서 마법 같은 일들이 시작된다.,"코미디, 로맨스, 판타지",15세 이상 관람가,2001년,3.8,https://file.kinolights.com/m/content_poster/202307/12/9cf6dce3-1993-4cf5-acdd-460fdfb6ea29.webp,쿠팡플레이
아무도 모른다,"크리스마스 전에는 돌아오겠다는 메모와 약간의 돈을 남긴 채 어디론가 떠나버린 엄마. 열두 살의 장남 아키라, 둘째 교코, 셋째 시게루, 그리고 막내인 유키까지 네 명의 아이들은 엄마를 기다리며 하루하루를 보낸다. 아키라는 동생들을 돌보며 헤어지지 않으려고 최선을 다하지만, 겨울이 지나고 봄이 되어도 엄마는 나타나지 않는다. 시간이 흐를수록 엄마가 빨리 돌아오지 않을 것이라는 생각을 한 네 명의 아이들은 감당하기 벅찬 시간들을 서로에게 의지하며 함께 보내기 시작하는데…",드라마,전체 관람가,2004년,4.2,https://file.kinolights.com/m/content_poster/202307/12/a7de0a73-8ea4-4ce1-a268-2eb7241516e4.webp,"넷플릭스, 왓챠, 쿠팡플레이, 티빙"
아무도 없는 숲속에서,"어느 여름, 깊은 숲속 펜션에 수상한 여자가 나타난다. 그와 더불어 일상이 무너지기 시작하는 펜션 주인 전영하. 그는 소중한 삶을 지키고자 여자에게 맞서 고군분투한다.","드라마, 스릴러",15세 이상 시청가,2023년,3.1,https://file.kinolights.com/m/content_poster/202408/02/cfb84606-252d-4f0c-b167-87cd747f04f9.webp,넷플릭스
아바타,"지구 에너지 고갈 문제를 해결하기 위해 판도라 행성으로 향한 인류는 원주민 ‘나비족’과 대립하게 된다. 이 과정에서, 전직 해병대원 제이크 설리가 아바타 프로그램을 통해 나비족의 중심부에 투입되는데…",액션,12세 이상 관람가,2009년,3.9,https://file.kinolights.com/m/content_poster/202307/12/82d8fa4f-47e4-4848-972b-45fc6706a9cd.webp,쿠팡플레이
아바타: 물의 길,"아바타: 물의 길은 판도라 행성에서 살아남기 위해 떠나야 하는 긴 여정과 전투, 그리고 견뎌내야 할 상처에 대한 이야기를 그렸다.","액션, 스릴러",12세 이상 관람가,2022년,3.7,https://file.kinolights.com/m/content_poster/202307/12/5b781cc7-9a92-4d77-b477-281f78b4cf54.webp,쿠팡플레이
아비정전,"“1분이 쉽게 지날 줄 알았는데 영원할 수도 있더군요.
그는 1분을 가리키면서 영원히 날 기억할 거라고 했어요...”

자유를 갈망하는 바람둥이 ‘아비’는 매일 오후 3시가 되면 매표소에서 일하는 ‘수리진’을 찾아간다.
그는 그녀에게 이 순간을 영원처럼 기억하게 될 거라는 말을 남기며 그녀의 마음을 흔든다.
결국 ‘수리진’은 ‘아비’를 사랑하게 되고 그와 결혼하길 원하지만, 구속 당하는 것을 싫어하는 ‘아비’는 그녀와의 결혼을 원치 않는다.

‘수리진’은 결혼을 거절하는 냉정한 그를 떠난다. 그녀와 헤어진 ‘아비’는 댄서인 ‘루루’와 또 다른 사랑을 이어간다.
하지만 이들의 관계도 역시 오래 가지는 못한다. ‘루루’에게 일방적인 이별을 통보한 ‘아비’는 친어머니를 찾아 필리핀으로 떠나게 된다.

한편, 그와의 1분을 잊지 못한 ‘수리진’은 ‘아비’를 기다리는데…","드라마, 로맨스",15세 이상 관람가,1990년,3.7,https://file.kinolights.com/m/content_poster/202401/10/ed423573-7136-4bf4-8d6b-58d950c1b63e.webp,"넷플릭스, 왓챠, 쿠팡플레이, 티빙"
아서,"어드벤처 레이싱 팀 주장 ‘마이클’은 최고로 힘든 지형과 날씨의 도미니카 공화국에서 700KM를 질주해야 한다! 여러 단계를 통과하던 중, '마이클' 앞에 떠돌이 개 '아서'가 나타나고 그의 팀을 따라다니기 시작하는데, '아서'를 포기해야만 우승 할 수 있는 상황..! 마지막 도전! 우승을 놓칠 수 없는 경기! ‘’아서’와 끝가지 함께 할 수 있을까?",드라마,12세 이상 관람가,2024년,3.5,https://file.kinolights.com/m/content_poster/202403/15/14afe647-7725-4388-9498-f2e629a804b6.webp,왓챠
아수라,"강력계 형사 한도경은 이권과 성공을 위해 각종 범죄를 저지르는 악덕시장 박성배의 뒷일을 처리해주는 대가로 돈을 받는다. 악에 계속 노출되는 사이, 말기 암 환자인 아내의 병원비를 핑계로 돈 되는 건 뭐든 하는 악인의 길로 들어서게 된 한도경. 그의 약점을 쥔 독종 검사 김차인과 검찰수사관 도창학은 그를 협박하고 이용해 박성배의 비리와 범죄 혐의를 캐려 한다. 각자의 이익과 목적을 위해 한도경의 목을 짓누르는 검찰과 박성배. 그 사이 태풍의 눈처럼 되어 버린 한도경은, 자신을 친형처럼 따르는 후배 형사 문선모를 박성배의 수하로 들여보내고, 살아남기 위해 혈안이 된 나쁜 놈들 사이에서 서로 물지 않으면 물리는 지옥도가 펼쳐진다.","액션, 스릴러",청소년 관람불가,2016년,3.0,https://file.kinolights.com/m/content_poster/202307/12/2f438471-855f-47d2-abd8-2d5bfb737c70.webp,"넷플릭스, 왓챠, 쿠팡플레이, 티빙"
아수라처럼,"네 자매의 이야기: 이케바나 선생님 츠나코, 주부 마키코, 사서 타키코, 웨이트리스 사키코. 어느 겨울날, 오랜만에 한자리에 모인다.",드라마,15세 이상 시청가,2024년,3.4,https://file.kinolights.com/m/content_poster/202501/10/b4ddcc27-f28a-4d5e-b81a-fb5568b154ab.webp,넷플릭스
아웃사이더,"11살 소년이 무참하게 살해되자, 형사 랠프 앤더슨은 증거를 바탕으로 테리를 체포한다. 그러나 이후 수사과정에서 그의 알리바이가 드러나면서 사건은 미궁에 빠진다.","드라마, 스릴러, 공포",19세 이상 시청가,2020년,0.0,https://file.kinolights.com/m/content_poster/202307/12/9eef2505-02cd-4b80-aa9e-17ecab3bbf83.webp,쿠팡플레이
아웃사이더는 오늘도 달린다,파티를 즐기던 시절은 끝났다. 예기치 않게 가족이 이끌던 농구 구단을 책임지게 된 여성. 이제 사업가로서의 면모와 능력을 증명해야만 한다.,"드라마, 코미디",19세 이상 시청가,2025년,0.0,https://file.kinolights.com/m/content_poster/202502/28/0bbec926-d1ee-42c8-a43f-3728b188bc1a.webp,넷플릭스
아이 러브 유,마음의 소리를 들을 수 있는 능력을 가진 주인공이 연하의 한국인 유학생과 사랑에 빠지는 판타지 러브스토리,"로맨스, 판타지",15세 이상 시청가,2024년,3.4,https://file.kinolights.com/m/content_poster/202402/15/ed7b5278-d94a-4891-a7a2-5f8dadc64914.webp,"넷플릭스, 왓챠, 티빙"
아이 엠 어 히어로,"일본 전역을 뒤덮은 정체불명의 바이러스 ZQN. 도심 곳곳은 사람을 물어뜯는 감염자들로 인해 대혼란이 이어지고, 우연히 살아남은 히데오와 몸의 반만 감염된 히로미는 감염자들을 피해 가까스로 생존자들의 안식처에 다다르게 된다. 하지만, 그 곳에서 예상치 못한 거대한 위협을 만나게 되는데…","액션, 공포",청소년 관람불가,2015년,3.0,https://file.kinolights.com/m/content_poster/202307/12/761bb469-4b79-444d-b5f9-8506cbd61324.webp,티빙
아이 캔 스피크,"온 동네를 휘저으며 무려 8천 건에 달하는 민원을 넣어 도깨비 할매라고 불리는 옥분. 20여 년간 누구도 막을 수 없었던 그녀 앞에 원칙주의 9급 공무원 민재가 나타나면서 팽팽한 긴장감이 흐른다. 민원 접수만큼이나 열심히 공부하던 영어가 좀처럼 늘지 않아 의기소침한 옥분은 원어민 수준의 영어를 구사하는 민재를 본 후 선생님이 되어 달라며 시간과 장소를 불문하고 부탁하기에 이른다. 둘만의 특별한 거래를 통해 결코 어울리지 않을 것 같았던 두 사람의 영어 수업이 시작되고, 함께하는 시간이 계속 될수록 서로를 이해하고 소통하게 되면서 친구이자 가족이 되어 간다. 옥분이 영어 공부에 매달리는 이유가 내내 궁금하던 민재는 어느 날, 그녀가 영어로 꼭 하고 싶은 말이 있다는 것을 알게 되는데...","드라마, 코미디",12세 이상 관람가,2017년,3.5,https://file.kinolights.com/m/content_poster/202307/12/ff55c28d-2432-4252-8604-18e775494d15.webp,"넷플릭스, 티빙"
아이덴티티,"폭풍우가 몰아치는 어느 밤... 네바다 주의 사막에 위치한 외딴 모텔에 10명의 사람들이 모여든다. 리무진 운전사와 그가 태우고 가던 여배우, 경찰과 그가 호송하던 살인범, 라스베이거스 매춘부와 신혼부부, 신경질적인 모텔 주인까지 포함한 총 11명. 사나운 폭풍우로 길은 사방이 막혀버리고 사람들은 어둠과 폭우가 걷히기를 기다리지만 연락이 두절된 호텔에 갇힌 이들은 하나 둘씩 살해당하기 시작한다. 죽음으로 시작된 살인의 그림자는 그들을 극도의 공포로 몰아간다. 현장에 남겨진 것이라곤 모텔 룸 넘버 10이 적힌 열쇠뿐... 연이은 죽음의 현장에는 9,8,7.. 카운트 다운을 알리는 열쇠만이 남아 끝나지 않은 살인을 예고하다. 서로가 서로를 의심하는 가운데 모두가 기억하기 싫은 비밀이 서서히 베일을 벗는데...","드라마, 스릴러",15세 이상 관람가,2003년,3.8,https://file.kinolights.com/m/content_poster/202307/12/47f7e936-ca56-49c8-a73a-3688c1b0b10d.webp,"왓챠, 쿠팡플레이"
아이리시맨,"숱한 세월이 흐르고, 그가 입을 연다. 버팔리노 조직에 충성했던 암살자 프랭크 시런. 그가 봉인해온 비밀들이 세상에 드러난다. 격찬을 받은 마틴 스코세이지의 걸작.","드라마, 스릴러",청소년 관람불가,2019년,4.2,https://file.kinolights.com/m/content_poster/202307/12/f15eb2a7-b875-43f0-8a54-0bf8df1a8082.webp,넷플릭스
아이언 자이언트,작은 시골마을의 외톨이 소년 호가드는 숲속에 불시착한 거대 로봇 자이언트를 만나 친구가 된다. 겉모습과는 달리 아이처럼 순수한 자이언트와 그를 영혼이 깃든 생명체로 느끼며 보호하려는 호가드.,"액션, 애니메이션",전체 관람가,1999년,3.9,https://file.kinolights.com/m/content_poster/202307/12/3c0a1798-d9d0-44bf-9080-0f347432d7a4.webp,쿠팡플레이
아이언맨,"천재적인 두뇌와 재능으로 세계 최강의 무기업체를 이끄는 CEO이자, 타고난 매력으로 셀러브리티 못지않은 화려한 삶을 살아가던 억만장자 토니 스타크. 아프가니스탄에서 자신이 개발한 신무기 발표를 성공리에 마치고 돌아가던 그는 게릴라군의 갑작스런 공격에 의해 가슴에 치명적인 부상을 입고 게릴라군에게 납치된다. 가까스로 목숨을 건진 그에게 게릴라군은 자신들을 위한 강력한 무기를 개발하라며 그를 위협한다. 그러나 그는 게릴라군을 위한 무기 대신, 탈출을 위한 무기가 장착된 철갑수트를 몰래 만드는 데 성공하고, 그의 첫 수트인 ‘Mark1’를 입고 탈출에 성공한다.",액션,12세 이상 관람가,2008년,3.9,https://file.kinolights.com/m/content_poster/202307/12/4e0d9f0c-d71e-4c7b-802d-aec912ae8a4d.webp,쿠팡플레이
아이언맨 2,"아이언맨의 정체가 전 세계에 알려진 뒤, 복수를 노리는 적들의 등장과 건강 문제로 인해 고난에 처한 토니 스타크는 이 모든 것이 아버지가 남긴 것들과 관련되어 있다는 것을 깨닫는다.",액션,12세 이상 관람가,2010년,3.2,https://file.kinolights.com/m/content_poster/202307/12/bebd16bc-e51a-4018-8bcb-7eac3ae93b5c.webp,쿠팡플레이
아이언맨 3,<어벤져스> 뉴욕 사건의 트라우마로 인해 영웅으로서의 삶에 회의를 느끼는 토니 스타크. 그가 혼란을 겪는 사이 최악의 테러리스트 만다린을 내세운 익스트리미스 집단 AIM이 스타크 저택에 공격을 퍼붓는다. 이 공격으로 그에게 남은 건 망가진 수트 한벌 뿐. 모든 것을 잃어버린 그는 다시 테러의 위험으로부터 세계와 사랑하는 여인 지켜내야 하는 동시에 머릿속을 떠나지 않던 한가지 물음의 해답도 찾아야만 한다. 과연 그가 아이언맨인가? 수트가 아이언맨인가?,액션,12세 이상 관람가,2013년,3.6,https://file.kinolights.com/m/content_poster/202307/12/4f2b1a09-c134-4aac-8605-c1fe0d2fc7d4.webp,쿠팡플레이
아이즈 와이드 셧,"CRUISE KIDMAN KUBRICK, EYES WIDE SHUT

뉴욕시의 젊은 의사 윌리암 하포드와 그의 아내 엘리스는 세칭 '아름다운 사람들'로 불리는 부유한 계층의 남녀이다. 7살 된 딸은 보모에게 맡기고 화려하게 차려입은 부부는 센트랄 파크의 호화 콘도를 빠져나와 윌리암의 환자며 친구인 억만장자 빅터 지글러가 베푸는 호사스런 크리스마스파티로 향한다. 파티에 도착한 윌리암은 오랜 친구인 피아니스트와 환담을 나누며 두명의 요염한 모델로부터 유혹을 받는다.

지글러가 데리고 놀던 여자가 약물과용으로 화장실에 실신해 있다고 전해지고 윌리암이 불려간다. 샴페인 취기에 나긋해진 엘리스는 정중하게 사근거리는 나이든 남성과 춤을 추면서 또한 유혹을 받지만 물리친다. 다음날 밤, 엘리스는 마리화나에 취한 채 전날의 심사를 윌리암에게 알리고 남편과 아내라는 객체로서 결혼에 대한 신의와 시기를 질문하게 된다. 자신은 과거에 한번 혼외정사를 가지려 했었다고 고백한다. 상황만 허락했다면 그녀는 자신의 욕정을 사르기 위해 모든 것을 버렸을 수도 있었다는 것이다. 엘리스의 이러한 고백은 윌리암에게 충격으로 다가오고, 아내의 정숙을 믿었던 신념에 회의를 품은체 집밖으로 나선다.

우선 그는 약속된 환자를 보는 것으로 시작해, 뉴욕 시내를 배회하기 시작한다. 죽은 환자의 딸로부터 공격적인 구애를 당하고, 창녀로부터 초대받고, 마침내는 비밀스런 집단 혼음파티에 인도된다. 그가 접하는 일련의 사건들은 변태와 욕정, 위험과 죽음으로 이끄는 암울한 인간의 어두운 양태를 가지고 잔인하게 다가온다.","드라마, 스릴러",청소년 관람불가,1999년,3.7,https://file.kinolights.com/m/content_poster/202307/12/90bad4e1-88e4-4f63-8c5f-652d5a7e95aa.webp,쿠팡플레이
아인,"평범한 의대생 케이는 교통사고 사망 직후 되살아나, 공식 보고된 세 번째 아인으로 정부의 감시를 받는다. 한편, 죽지 않는 아인을 잔혹한 비밀 생체실험에 이용해 온 정부 산하의 연구소가 정체를 알 수 없는 아인, 사토의 공격을 받고 케이는 그 틈을 타 자취를 감춘다. 정부와 인간에 대한 끔찍한 복수를 계획한 테러리스트 사토는 전국의 아인들을 소집하고, 케이는 이를 막기 위해 끝을 알 수 없는 전쟁을 선포한다.","액션, 판타지",15세 이상 관람가,2017년,2.8,https://file.kinolights.com/m/content_poster/202307/12/3bbf704f-eca6-4020-93cf-8aad8ee7b435.webp,왓챠
아일랜드,"지구 상에 일어난 생태적인 재앙으로 인하여 일부만이 살아 남은 21세기 중반. 자신들을 지구 종말의 생존자라 믿고 있는 링컨 6-에코와 조던 2-델타는 수백 명의 주민들과 함께 부족한 것이 없는 유토피아에서 빈틈없는 통제를 받으며 살고 있다. 잠자리에서 일어나면서부터 몸 상태를 점검 받고, 먹는 음식과 인간관계까지 격리된 환경 속에서 사는 이들은 모두 지구에서 유일하게 오염되지 않은 희망의 땅 ‘아일랜드’에 추첨이 되어 뽑혀 가기를 바라고 있다. 최근 들어 매일 같이 똑 같은 악몽에 시달리던 링컨은 제한되고 규격화된 이 곳 생활에 의문을 품게 된다. 그리고 곧, 자신이 믿고 있던 모든 것들이 거짓이었음을 알게 된다. 자기를 포함한 그곳의 모든 사람들이 사실은 스폰서(인간)에게 장기와 신체부위를 제공할 복제인간이라는 것! 결국 ‘아일랜드’로 뽑혀 간다는 것은 신체부위를 제공하기 위해 무참히 죽음을 맞이하게 되는 것을 의미했던 것이다. 어느 날, 복제된 산모가 아이를 출산한 후 살해되고 장기를 추출 당하며 살고 싶다고 절규하는 동료의 모습을 목격한 링컨은 아일랜드로 떠날 준비를 하던 조던과 탈출을 시도한다. 그간 감춰졌던 비밀, 엄연히 존재하고 있는 외부의 모습을 보게 된 이들은 자신들의 스폰서를 찾아 나서고 오직 살고 싶다는 본능으로 탈주를 계속하는데…",액션,12세 이상 관람가,2005년,3.4,https://file.kinolights.com/m/content_poster/202307/12/0b88d866-719d-4718-bd20-9643ad6e4450.webp,쿠팡플레이
아일랜드 파트 1,세상을 멸망시키려는 악에 대항해 싸워야 하는 운명을 가진 인물들의 여정을 그린 드라마,"액션, 스릴러, 공포, 판타지",15세 이상 시청가,2022년,2.8,https://file.kinolights.com/m/content_poster/202307/12/8e561d7a-fdc1-447d-a0a8-66b7c24ab6d8.webp,티빙
아임 낫 데어,"<아임 낫 데어>는 전설적 포크락 가수 밥 딜런 특유의 시적인 가사를 줄기로 삼아 밥 딜런의 7가지 서로 다른 자아의 이미지와 이야기들을 연달아 진행시키며 미국 역사상 가장 강렬한 아이콘의 생동감 있는 초상을 완성한다. 음악적 변신으로 비난 받는 뮤지션 쥬드, 저항음악으로 사랑받는 포크 가수 잭, 회심한 가스펠 가수 존이 대중에게 주목받는 뮤지션으로서의 밥딜런의 실제 삶을 보여준다면, 영화 속 영화에서 잭을 연기하는 배우인 로비는 밥 딜런이 아니면서도 어딘가 그를 닮은 미묘한 인상을 남긴다. 은퇴한 총잡이 빌리와 시인 아서. 그리고 음악적 스승 우디는 밥 딜런의 문화적 배경과 영감의 원천을 상징하며 아이덴티티를 농밀하게 완성해낸다.",드라마,15세 이상 관람가,2007년,3.5,https://file.kinolights.com/m/content_poster/202307/12/93b08cbf-e4b0-48d7-affb-d378b0dfbec3.webp,쿠팡플레이
아저씨,"단 하나뿐인 친구는 그를 ‘아저씨’ 라 불렀다. 불행한 사건으로 아내를 잃고 세상을 등진 채 전당포를 운영하며 외롭게 살아가는 전직 특수요원 태식. 찾아오는 사람이라곤 전당포에 물건 맡기러 오는 사람들과 옆집 소녀 소미 뿐이다. 엄마의 보살핌을 받지 못하고 언제나 혼자 있는 소미와 보내는 시간이 많아지면서 태식은 소미에게 점점 마음을 열게 된다. 그러던 중 소미의 엄마가 범죄에 연루되고, 범죄조직은 소미를 인질로 잡아가고 만다. 태식은 소미를 구하기 위해 범죄조직과 거래를 하게 되고, 이로 인해 경찰마저 태식을 추격하게 된다. 한 걸음씩 한 걸음씩 범죄조직의 중심에 다가서면서 베일에 싸여있던 태식의 비밀스런 과거도 함께 드러나게 되는데…","드라마, 액션",18세 이상 관람가,2010년,3.6,https://file.kinolights.com/m/content_poster/202307/12/df55a5a1-82bf-4499-b66b-e13c6b3021b2.webp,"넷플릭스, 왓챠, 쿠팡플레이, 티빙"
아침바다 갈매기는,"젊은 어부가 사라진다. 늙은 선장은 그가 바다에 빠졌다고 신고한다. 어부의 베트남인 아내는 충격에 쓰러지고 불같은 어머니는 수색을 종용한다. 시간이 흘러도 시체는 나오지 않는다. 마을 사람들은 보험금을 받게 될 아내를 시기한다. 어부는 보험금을 타 아내의 고향으로 어머니와 함께 탈출하고 싶었다. 아들을 놔 버릴 수 없는 어머니의 마음은 죽어서라도 떠나고 싶던 바다에 아들을 묶는다. 좋은 의도로 그를 도왔지만, 모든 것이 짜증 나기 시작한 선장은 오래전 딸을 망쳐버린 그 성질머리로 모든 것을 끝장내기로 마음먹는다.",드라마,12세 이상 관람가,2024년,3.7,https://file.kinolights.com/m/content_poster/202411/06/52c89489-aa66-4b42-90ab-96c367997161.webp,왓챠
아침이 오면 공허해진다,"말수 적고 낯가리는 내향형 인간 이이즈카. 취업 후 적응하지 못해 회사를 그만두고 편의점 아르바이트로 하루하루 지내고 있지만 가족들은 그런 그녀의 상황을 모른다. 아침에 눈뜰 때마다 공허한 감정을 느끼던 어느 날, 중학교 때 같은 반 친구였던 오오토모와 우연히 재회하게 되는 이이즈카. 오랜만에 만나는 동창이 어색하다가도 점차 두 사람은 다시 그때 그 여중생 시절처럼 즐거운 시간을 쌓아 가는데...",드라마,12세 이상 관람가,2022년,3.2,https://file.kinolights.com/m/content_poster/202404/30/b85e734f-ba71-4d89-a467-6d543b6a4ccf.webp,"넷플릭스, 왓챠, 티빙"
아카디안,"지구상에서 평범한 삶이란 더 이상 존재하지 않는 가까운 미래. 아버지 폴과 그의 두 아들인 토마스와 조셉은 낮에는 평온하지만 밤에는 괴로운 시간을 견뎌야 하는 이중적인 삶을 살고 있다. 어느 날, 토마스는 그가 짝사랑하는 소녀 샬롯이 있는 집 근처 농장에 방문했다가 늦게까지 집으로 돌아오지 않는다. 아버지 폴은 안전한 요새와도 같은 농장을 떠나 목숨을 걸고 토마스를 찾기로 한다. 폴이 끝내 그의 아들을 찾았을 때, 악몽 같은 전투가 시작되는데…","액션, 스릴러, 공포",청소년 관람불가,2023년,2.6,https://file.kinolights.com/m/content_poster/202501/24/0949d44a-789e-4865-8ef4-f3f0df717f35.webp,왓챠
아케인,"지상 도시 필트오버와 그 아래의 지하 도시 자운. 극심하게 반목하는 두 쌍둥이 도시에서, 두 자매가 서로 반대편에 서서 싸우기에 이른다. 마법 기술과 신념의 충돌 속에서 전쟁이 시작된다.","액션, 애니메이션",15세 이상 시청가,2021년,4.1,https://file.kinolights.com/m/content_poster/202307/12/82931498-6852-41f7-bfb6-f059785dbce4.webp,넷플릭스
아케인 시즌 2,"지상 도시 필트오버와 그 아래의 지하도시 자운, 극심하게 반목하는 두 도시에서 두 자매가 서로 반대편에 서서 싸우기 시작하며 마법 기술과 신념의 충돌 속에서 시작된 전쟁을 다룬 이야기","액션, 애니메이션",15세 이상 시청가,2024년,3.8,https://file.kinolights.com/m/content_poster/202411/08/3e7d3c78-75b8-4f04-bd77-e8d385c67dee.webp,넷플릭스
아쿠아맨,"정략결혼을 피해 도망친 아틀라나는 등대지기와 사랑에 빠져 아들 아서를 낳는다. 아서는 어려서부터 남들과는 다른 능력을 보여준다. 어느 날, 바다에서 네레우스 왕의 딸 메라가 아서를 찾아온다.","액션, 판타지",12세 이상 관람가,2018년,3.3,https://file.kinolights.com/m/content_poster/202307/12/38c40a56-0158-417b-92f8-53a7c8b42a67.webp,쿠팡플레이
아쿠아맨과 로스트 킹덤,"고대의 권력이 해방되면 아쿠아맨은 아틀란티스, 그리고 세계를 돌이킬 수 없는 파괴로부터 보호하기 위해 있을 것 같지 않은 동맹과 불안한 동맹을 맺어야 한다.","액션, 판타지",12세 이상 관람가,2023년,2.8,https://file.kinolights.com/m/content_poster/202311/27/2155626c-6928-40cb-8451-35a3335801dd.webp,쿠팡플레이
